gene_id,T2_R2,T2_R3,T2_R4,T7_R1,T7_R2,T7_R4
XM_053610099.1,0,0,0,0,0,0
XM_053610100.1,2,2,0,24,12,14
XM_053610101.1,0,0,0,0,0,0
XM_053610102.1,505,356,338,646,387,455
XM_053610103.1,161,102,184,129,65,75
XM_053610104.1,0,0,1,0,0,0
XM_053610105.1,10,2,0,0,2,0
XM_053610106.1,4,7,2,3,2,2
XM_053610107.1,0,0,0,0,0,0
XM_053610108.1,0,0,0,0,0,0
XM_053610109.1,72,69,77,44,38,38
XM_053610110.1,13,10,25,236,28,119
XM_053610111.1,7,14,0,0,1,0
XM_053610112.1,0,0,0,0,0,0
XM_053610113.1,0,0,0,0,0,0
XM_053610114.1,10,12,4,2,2,7
XM_053610115.1,4,1,0,1,0,0
XM_053610116.1,5,2,4,3,3,1
XM_053610117.1,431,321,350,347,183,204
XM_053610118.1,296,270,270,291,346,320
XM_053610119.1,0,0,0,0,0,0
XM_053610120.1,82,62,28,67,56,65
XM_053610121.1,0,0,0,0,0,0
XM_053610122.1,5,4,2,6,3,4
XM_053610123.1,0,0,0,0,0,0
XM_053610124.1,0,0,3,0,0,3
XM_053610125.1,997,1078,753,643,733,684
XM_053610126.1,219,183,128,121,105,86
XM_053610127.1,1261,955,902,1211,1340,1110
XM_053610128.1,0,0,0,0,0,0
XM_053610129.1,0,0,0,0,0,0
XM_053610130.1,14,17,15,11,5,6
XM_053610131.1,0,0,0,0,0,0
XM_053610132.1,7,7,4,60,78,141
XM_053610133.1,0,0,0,0,0,0
XM_053610134.1,0,0,0,1,0,0
XM_053610135.1,0,0,0,0,0,0
XM_053610136.1,63,107,64,11,14,8
XM_053610137.1,35,15,14,20,18,21
XM_053610138.1,17,2,9,4,0,3
XM_053610139.1,7,2,5,3,0,5
XM_053610140.1,4001,3864,6854,1530,1364,1272
XM_053610141.1,0,0,0,0,0,0
XM_053610142.1,0,0,0,0,0,0
XM_053610143.1,0,0,0,0,0,0
XM_053610144.1,0,0,0,0,0,0
XM_053610145.1,0,0,0,0,0,0
XM_053610146.1,0,3,0,1,2,3
XM_053610147.1,4,10,1,3,5,8
XM_053610148.1,12,11,13,32,32,42
XM_053610149.1,0,0,0,0,0,0
XM_053610150.1,0,0,0,0,0,0
XM_053610151.1,5,0,3,1,1,2
XM_053610152.1,204,224,152,253,70,190
XM_053610153.1,16,13,9,9,6,7
XM_053610154.1,7,12,8,9,2,8
XM_053610155.1,76,147,101,77,102,87
XM_053610156.1,450,279,360,437,388,265
XM_053610157.1,128,117,111,152,249,198
XM_053610158.1,20,8,6,15,30,22
XM_053610159.1,9,11,13,17,15,13
XM_053610160.1,0,0,0,0,0,0
XM_053610161.1,0,0,0,0,0,0
XM_053610162.1,281,285,263,491,531,652
XM_053610163.1,268,232,226,203,246,179
XM_053610164.1,43,50,33,58,86,54
XM_053610165.1,559,452,452,230,184,168
XM_053610166.1,71,74,48,53,73,50
XM_053610167.1,49,16,24,64,35,55
XM_053610168.1,0,0,0,0,0,0
XM_053610169.1,280,263,188,12,28,38
XM_053610170.1,340,321,288,162,150,153
XM_053610171.1,0,0,0,0,0,0
XM_053610172.1,0,0,0,0,0,0
XM_053610173.1,497,442,478,154,107,137
XM_053610174.1,87,111,127,171,162,175
XM_053610175.1,7,6,5,0,1,2
XM_053610176.1,7,3,5,2,1,2
XM_053610177.1,222,73,178,63,23,48
XM_053610178.1,84,78,102,190,140,128
XM_053610179.1,0,0,0,0,0,0
XM_053610180.1,0,0,0,0,0,0
XM_053610181.1,0,0,0,0,0,0
XM_053610182.1,2,2,2,2,8,8
XM_053610183.1,0,0,0,0,0,0
XM_053610184.1,0,0,0,0,0,0
XM_053610185.1,0,0,0,0,0,0
XM_053610186.1,33,42,27,98,66,104
XM_053610187.1,1,1,3,2,3,2
XM_053610188.1,50,72,96,53,63,65
XM_053610189.1,0,0,0,0,0,0
XM_053610190.1,0,0,0,0,0,0
XM_053610191.1,0,0,0,0,0,0
XM_053610192.1,0,0,0,0,0,0
XM_053610193.1,0,0,0,0,1,0
XM_053610194.1,0,0,0,0,0,0
XM_053610195.1,0,0,0,0,0,0
XM_053610196.1,10,5,4,18,7,10
XM_053610197.1,0,0,0,0,0,0
XM_053610198.1,81,61,18,40,43,40
XM_053610199.1,417,329,192,458,426,447
XM_053610200.1,367,237,145,105,79,110
XM_053610201.1,30,20,26,15,8,24
XM_053610202.1,1,0,0,0,0,2
XM_053610203.1,55,69,54,63,61,47
XM_053610204.1,90,73,87,92,105,117
XM_053610205.1,54,57,75,49,60,71
XM_053610206.1,13,8,6,11,8,4
XM_053610207.1,0,0,0,0,0,0
XM_053610208.1,0,0,0,0,0,1
XM_053610209.1,0,10,0,1,0,0
XM_053610210.1,0,0,0,0,0,0
XM_053610211.1,0,0,0,0,0,0
XM_053610212.1,0,0,0,0,0,0
XM_053610213.1,0,0,0,0,0,0
XM_053610214.1,0,0,0,0,1,4
XM_053610215.1,0,0,0,0,0,0
XM_053610216.1,0,0,0,0,0,0
XM_053610217.1,0,0,0,0,0,0
XM_053610218.1,0,0,0,0,0,0
XM_053610219.1,0,0,0,0,0,0
XM_053610220.1,0,0,0,0,0,0
XM_053610221.1,0,0,0,0,0,0
XM_053610222.1,38,23,46,115,60,66
XM_053610223.1,149,137,73,39,66,42
XM_053610224.1,1,0,0,0,0,3
XM_053610225.1,3,8,8,1,1,1
XM_053610226.1,0,0,0,0,0,0
XM_053610227.1,0,0,0,0,0,0
XM_053610228.1,1,13,9,1,2,0
XM_053610229.1,31,32,18,8,8,16
XM_053610230.1,16,16,15,5,7,5
XM_053610231.1,8,6,11,16,17,19
XM_053610232.1,0,0,0,0,0,0
XM_053610233.1,0,0,0,0,0,0
XM_053610234.1,0,0,0,0,0,0
XM_053610235.1,0,0,0,0,0,0
XM_053610236.1,450,556,575,371,396,428
XM_053610237.1,0,0,1,0,0,0
XM_053610238.1,0,0,1,0,0,3
XM_053610239.1,0,0,0,0,0,0
XM_053610240.1,0,0,0,0,0,0
XM_053610241.1,0,0,0,0,0,0
XM_053610242.1,126,225,97,195,38,248
XM_053610243.1,7,11,57,4,16,4
XM_053610244.1,9,26,14,48,8,13
XM_053610245.1,0,0,1,0,0,0
XM_053610246.1,0,3,1,0,0,0
XM_053610247.1,3,1,1,28,0,5
XM_053610248.1,10,10,14,410,228,287
XM_053610249.1,0,0,0,0,0,0
XM_053610250.1,0,0,0,0,0,0
XM_053610251.1,0,0,0,0,0,0
XM_053610252.1,17,12,7,209,137,204
XM_053610253.1,0,0,0,0,0,0
XM_053610254.1,0,0,0,0,0,0
XM_053610255.1,0,0,0,0,0,0
XM_053610256.1,0,0,0,0,0,0
XM_053610257.1,1,12,5,0,1,0
XM_053610258.1,0,0,0,0,0,0
XM_053610259.1,0,0,0,0,0,0
XM_053610260.1,0,0,0,0,0,0
XM_053610261.1,126,132,115,141,122,171
XM_053610262.1,0,0,0,0,0,0
XM_053610263.1,97,75,47,48,22,43
XM_053610264.1,52,73,52,46,33,67
XM_053610265.1,6,2,0,124,86,111
XM_053610266.1,0,0,0,0,0,0
XM_053610267.1,0,0,0,2,0,0
XM_053610268.1,0,0,0,0,0,0
XM_053610269.1,0,0,0,0,0,0
XM_053610270.1,1,3,6,60,23,50
XM_053610271.1,17,25,15,440,278,375
XM_053610272.1,0,0,0,0,0,0
XM_053610273.1,0,0,1,3,1,0
XM_053610274.1,0,0,0,0,0,0
XM_053610275.1,0,0,0,0,0,0
XM_053610276.1,0,0,0,0,0,0
XM_053610277.1,0,0,0,0,0,0
XM_053610278.1,1181,824,611,347,336,228
XM_053610279.1,0,0,0,0,0,0
XM_053610280.1,0,0,0,0,0,0
XM_053610281.1,1,4,1,8,2,0
XM_053610282.1,15,47,20,75,7,5
XM_053610283.1,672,530,308,261,252,240
XM_053610284.1,8,1,4,42,35,35
XM_053610285.1,0,0,0,0,0,0
XM_053610286.1,0,0,0,0,0,0
XM_053610287.1,0,0,0,0,0,0
XM_053610288.1,0,0,0,0,0,0
XM_053610289.1,0,0,0,0,0,0
XM_053610290.1,0,0,0,0,0,0
XM_053610291.1,0,0,0,0,0,0
XM_053610292.1,0,0,0,0,0,0
XM_053610293.1,0,0,0,0,0,0
XM_053610294.1,0,0,0,0,0,0
XM_053610295.1,0,0,0,0,0,0
XM_053610296.1,0,0,0,0,0,0
XM_053610297.1,0,0,0,0,0,0
XM_053610298.1,0,0,0,0,0,0
XM_053610299.1,42,53,37,67,67,56
XM_053610300.1,629,630,551,486,350,362
XM_053610301.1,797,555,547,3613,3404,3814
XM_053610302.1,0,0,0,0,0,0
XM_053610303.1,0,0,0,0,0,0
XM_053610304.1,0,0,0,0,0,0
XM_053610305.1,0,0,0,0,0,0
XM_053610306.1,0,0,0,0,0,0
XM_053610307.1,278,205,152,153,150,122
XM_053610308.1,0,0,0,0,0,0
XM_053610309.1,0,0,0,0,0,0
XM_053610310.1,0,0,0,0,0,0
XM_053610311.1,0,0,0,0,0,0
XM_053610312.1,0,0,0,0,0,0
XM_053610313.1,0,0,0,0,0,0
XM_053610314.1,0,0,0,0,0,0
XM_053610315.1,0,0,0,0,0,0
XM_053610316.1,0,0,0,0,0,0
XM_053610317.1,0,0,0,0,0,0
XM_053610318.1,0,0,0,0,0,0
XM_053610319.1,0,0,0,0,0,0
XM_053610320.1,0,0,0,0,0,0
XM_053610321.1,0,0,0,0,0,0
XM_053610322.1,0,0,0,0,0,0
XM_053610323.1,0,0,0,0,0,0
XM_053610324.1,0,0,0,0,0,0
XM_053610325.1,0,0,0,0,0,0
XM_053610326.1,0,0,0,0,0,0
XM_053610327.1,201,182,137,254,151,229
XM_053610328.1,7,3,8,0,2,2
XM_053610329.1,0,0,0,0,0,0
XM_053610330.1,0,0,0,0,0,0
XM_053610331.1,0,0,0,0,0,0
XM_053610332.1,0,0,0,0,0,0
XM_053610333.1,5,4,0,0,0,1
XM_053610334.1,3,0,2,0,0,0
XM_053610335.1,0,0,0,0,0,0
XM_053610336.1,30,44,44,53,17,98
XM_053610337.1,56,23,12,4,0,1
XM_053610338.1,4,3,8,10,11,11
XM_053610339.1,19,60,38,20,7,18
XM_053610340.1,83,85,77,22,34,23
XM_053610341.1,32,38,29,32,21,32
XM_053610342.1,1562,1251,1004,835,594,653
XM_053610343.1,0,0,0,0,0,0
XM_053610344.1,0,0,0,0,0,0
XM_053610345.1,0,0,0,0,0,0
XM_053610346.1,0,0,0,0,1,0
XM_053610347.1,0,0,0,0,0,0
XM_053610348.1,43,21,27,72,75,85
XM_053610349.1,0,0,0,0,0,0
XM_053610350.1,0,0,0,0,0,0
XM_053610351.1,0,0,0,0,0,0
XM_053610352.1,0,0,0,0,0,0
XM_053610353.1,0,0,0,0,0,0
XM_053610354.1,0,0,0,0,0,0
XM_053610355.1,3,4,6,8,22,42
XM_053610356.1,0,0,0,0,0,0
XM_053610357.1,380,367,318,493,548,477
XM_053610358.1,185,135,158,217,240,241
XM_053610359.1,23,43,13,18,6,8
XM_053610360.1,15,52,11,20,2,9
XM_053610361.1,0,0,0,0,0,0
XM_053610362.1,1,10,14,10,26,10
XM_053610363.1,7,10,2,7,13,26
XM_053610364.1,21,45,15,432,319,375
XM_053610365.1,351,366,639,379,354,316
XM_053610366.1,2,2,5,9,6,9
XM_053610367.1,0,0,0,0,0,0
XM_053610368.1,0,0,0,0,0,0
XM_053610369.1,0,0,0,0,0,0
XM_053610370.1,0,0,0,0,0,0
XM_053610371.1,3,10,13,0,0,0
XM_053610372.1,0,0,0,0,1,0
XM_053610373.1,1,0,0,1,0,1
XM_053610374.1,0,0,0,0,0,0
XM_053610375.1,0,0,0,0,1,0
XM_053610376.1,5,2,4,3,5,10
XM_053610377.1,245,242,115,396,394,428
XM_053610378.1,0,1,0,1,2,2
XM_053610379.1,4,3,1,0,1,0
XM_053610380.1,0,0,0,0,0,0
XM_053610381.1,0,0,3,0,0,0
XM_053610382.1,2,0,1,2,0,0
XM_053610383.1,0,0,0,0,0,0
XM_053610384.1,85,43,0,6,0,30
XM_053610385.1,0,0,0,0,0,0
XM_053610386.1,0,0,0,0,0,0
XM_053610387.1,0,0,0,0,0,0
XM_053610388.1,2,2,0,0,0,0
XM_053610389.1,0,0,0,0,0,0
XM_053610390.1,0,0,0,0,0,0
XM_053610391.1,0,0,0,0,0,0
XM_053610392.1,5,3,9,7,2,3
XM_053610393.1,0,0,0,0,0,0
XM_053610394.1,0,0,0,0,0,0
XM_053610395.1,0,0,0,0,0,0
XM_053610396.1,0,0,0,0,0,0
XM_053610397.1,74,132,214,67,47,45
XM_053610398.1,0,0,0,0,0,0
XM_053610399.1,21,18,7,65,29,78
XM_053610400.1,0,1,1,14,19,25
XM_053610401.1,0,0,0,0,0,0
XM_053610402.1,0,0,0,0,0,0
XM_053610403.1,2,2,0,17,13,22
XM_053610404.1,0,0,0,0,0,0
XM_053610405.1,0,0,0,0,0,0
XM_053610406.1,0,0,0,0,2,0
XM_053610407.1,2,1,5,19,21,21
XM_053610408.1,114,129,56,4,5,6
XM_053610409.1,37,78,48,27,8,13
XM_053610410.1,0,1,1,0,0,0
XM_053610411.1,25,43,21,28,20,10
XM_053610412.1,5,5,2,2,3,1
XM_053610413.1,1105,1194,2175,984,396,692
XM_053610414.1,0,5,5,8,3,5
XM_053610415.1,0,0,0,0,0,0
XM_053610416.1,367,361,382,536,470,564
XM_053610417.1,372,272,112,21,45,32
XM_053610418.1,155,127,114,84,53,61
XM_053610419.1,0,2,0,0,0,0
XM_053610420.1,0,1,1,2,0,6
XM_053610421.1,0,1,2,1,0,0
XM_053610422.1,0,0,0,0,0,0
XM_053610423.1,0,0,1,0,0,0
XM_053610424.1,0,0,0,0,0,0
XM_053610425.1,3,10,4,1,2,2
XM_053610426.1,0,0,0,0,0,0
XM_053610427.1,219,156,136,351,397,311
XM_053610428.1,0,0,0,0,0,0
XM_053610429.1,0,0,0,0,0,0
XM_053610430.1,0,0,0,0,0,0
XM_053610431.1,0,0,0,0,0,0
XM_053610432.1,0,0,0,0,0,0
XM_053610433.1,40,39,22,14,17,16
XM_053610434.1,0,0,0,0,0,0
XM_053610435.1,20,21,40,4,0,12
XM_053610436.1,251,276,227,88,66,80
XM_053610437.1,3,11,3,0,1,0
XM_053610438.1,5,12,11,0,1,0
XM_053610439.1,127,132,82,3,19,14
XM_053610440.1,3,1,0,0,0,0
XM_053610441.1,9,25,10,19,30,9
XM_053610442.1,599,471,476,631,561,653
XM_053610443.1,2,3,0,0,0,0
XM_053610444.1,0,4,7,1,3,0
XM_053610445.1,8,13,14,24,8,20
XM_053610446.1,285,255,234,102,102,74
XM_053610447.1,860,673,855,1182,1103,1057
XM_053610448.1,0,0,0,0,0,0
XM_053610449.1,351,304,283,413,205,177
XM_053610450.1,610,572,430,474,283,375
XM_053610451.1,0,0,0,0,0,0
XM_053610452.1,1,5,8,8,4,6
XM_053610453.1,0,0,0,0,0,0
XM_053610454.1,0,0,0,0,0,0
XM_053610455.1,0,0,0,0,0,0
XM_053610456.1,0,0,0,0,0,0
XM_053610457.1,0,0,0,0,0,0
XM_053610458.1,12,13,13,13,15,7
XM_053610459.1,17,22,13,19,24,22
XM_053610460.1,0,0,0,0,0,0
XM_053610461.1,275,205,247,98,141,94
XM_053610462.1,0,0,0,0,0,0
XM_053610463.1,0,0,0,0,0,0
XM_053610464.1,44,64,48,19,24,54
XM_053610465.1,69,36,56,4,16,10
XM_053610466.1,18,68,11,3,4,5
XM_053610467.1,0,0,0,0,0,0
XM_053610468.1,0,0,0,0,0,0
XM_053610469.1,0,0,0,0,0,0
XM_053610470.1,92,106,45,19,11,23
XM_053610471.1,3,3,5,7,2,3
XM_053610472.1,0,0,0,0,0,0
XM_053610473.1,0,0,0,0,0,0
XM_053610474.1,0,0,0,0,0,0
XM_053610475.1,183,159,101,208,271,242
XM_053610476.1,647,452,294,160,249,144
XM_053610477.1,16,44,22,9,15,3
XM_053610478.1,264,269,157,93,150,100
XM_053610479.1,4,4,0,1,1,0
XM_053610480.1,155,92,55,127,130,93
XM_053610481.1,0,0,0,0,0,0
XM_053610482.1,0,0,0,0,0,0
XM_053610483.1,0,4,1,0,3,2
XM_053610484.1,0,1,0,0,0,0
XM_053610485.1,0,0,0,0,0,0
XM_053610486.1,0,0,0,0,0,0
XM_053610487.1,0,0,0,0,0,0
XM_053610488.1,9,8,2,12,25,27
XM_053610489.1,9,6,4,10,5,6
XM_053610490.1,0,0,0,0,0,0
XM_053610491.1,157,141,101,166,129,141
XM_053610492.1,0,0,0,0,0,0
XM_053610493.1,0,0,0,0,1,0
XM_053610494.1,17,7,10,2,1,1
XM_053610495.1,10,11,2,0,1,0
XM_053610496.1,2227,1744,1618,3702,2636,3331
XM_053610497.1,62,84,164,53,41,57
XM_053610498.1,48,19,16,15,26,11
XM_053610499.1,3,17,17,2,0,1
XM_053610500.1,7,6,5,0,1,0
XM_053610501.1,5,8,6,8,10,6
XM_053610502.1,3,0,2,14,14,13
XM_053610503.1,377,385,548,52,70,65
XM_053610504.1,500,425,357,541,458,529
XM_053610505.1,25,49,32,8,5,4
XM_053610506.1,0,1,1,3,1,1
XM_053610507.1,359,280,124,40,44,76
XM_053610508.1,0,0,0,0,0,0
XM_053610509.1,0,0,0,0,0,0
XM_053610510.1,20,11,5,8,4,2
XM_053610511.1,0,0,0,0,0,0
XM_053610512.1,0,0,0,0,0,0
XM_053610513.1,0,0,0,0,0,0
XM_053610514.1,0,0,0,0,0,0
XM_053610515.1,0,0,0,0,0,0
XM_053610516.1,6,17,16,7,1,2
XM_053610517.1,1,0,1,0,0,0
XM_053610518.1,106,83,44,77,14,61
XM_053610519.1,0,0,0,0,0,0
XM_053610520.1,0,0,0,0,0,0
XM_053610521.1,0,0,0,0,0,0
XM_053610522.1,0,0,0,0,0,0
XM_053610523.1,0,0,0,0,0,0
XM_053610524.1,1,0,0,0,0,0
XM_053610525.1,0,0,0,0,0,0
XM_053610526.1,0,0,0,0,0,0
XM_053610527.1,0,3,0,0,0,1
XM_053610528.1,0,0,0,0,0,0
XM_053610529.1,6,10,11,2,13,1
XM_053610530.1,5,15,2,6,3,4
XM_053610531.1,0,0,0,0,0,0
XM_053610532.1,281,256,215,405,385,442
XM_053610533.1,0,0,0,0,0,0
XM_053610534.1,13,6,0,4,1,0
XM_053610535.1,9,10,6,0,3,3
XM_053610536.1,433,472,241,231,256,258
XM_053610537.1,0,0,0,0,0,0
XM_053610538.1,99,107,107,79,56,63
XM_053610539.1,89,102,50,60,56,64
XM_053610540.1,1,0,1,0,1,0
XM_053610541.1,229,314,590,176,282,226
XM_053610542.1,0,0,0,0,0,0
XM_053610543.1,94,130,74,66,30,57
XM_053610544.1,0,0,0,0,0,0
XM_053610545.1,0,0,0,0,0,0
XM_053610546.1,0,0,0,0,0,0
XM_053610547.1,0,0,0,0,0,0
XM_053610548.1,0,0,0,0,0,0
XM_053610549.1,0,0,0,0,0,0
XM_053610550.1,0,0,0,0,0,0
XM_053610551.1,938,1026,1278,532,678,523
XM_053610552.1,0,0,0,0,0,0
XM_053610553.1,4,3,3,10,6,5
XM_053610554.1,468,363,350,277,324,348
XM_053610555.1,282,266,268,560,533,505
XM_053610556.1,0,0,0,0,0,0
XM_053610557.1,0,0,0,0,0,0
XM_053610558.1,414,518,782,134,186,178
XM_053610559.1,982,829,471,886,644,796
XM_053610560.1,224,163,162,84,87,58
XM_053610561.1,0,0,0,0,0,0
XM_053610562.1,0,0,0,0,0,0
XM_053610563.1,1443,1112,1005,878,905,982
XM_053610564.1,173,193,135,317,307,336
XM_053610565.1,89,74,41,49,108,68
XM_053610566.1,0,3,1,0,3,4
XM_053610567.1,3,1,5,2,0,0
XM_053610568.1,3,7,14,0,0,0
XM_053610569.1,100,92,45,2,7,4
XM_053610570.1,68,62,59,1,6,15
XM_053610571.1,249,218,129,183,186,129
XM_053610572.1,34,42,25,13,16,9
XM_053610573.1,174,127,71,135,133,136
XM_053610574.1,0,0,0,0,0,0
XM_053610575.1,0,2,1,0,3,0
XM_053610576.1,0,0,0,0,1,0
XM_053610577.1,0,0,0,1,0,0
XM_053610578.1,0,0,0,0,0,0
XM_053610579.1,443,329,333,539,738,602
XM_053610580.1,0,0,0,0,0,0
XM_053610581.1,0,0,0,0,0,0
XM_053610582.1,12,6,5,8,7,13
XM_053610583.1,0,0,0,0,0,0
XM_053610584.1,0,0,0,0,0,0
XM_053610585.1,0,0,0,0,0,0
XM_053610586.1,0,0,0,0,0,0
XM_053610587.1,0,0,0,0,0,0
XM_053610588.1,0,0,0,0,0,0
XM_053610589.1,0,0,0,0,0,0
XM_053610590.1,0,0,0,0,0,0
XM_053610591.1,0,0,0,0,0,0
XM_053610592.1,0,0,0,0,0,0
XM_053610593.1,11,0,1,2,0,1
XM_053610594.1,0,0,0,0,0,0
