"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order"
"query_1",TRUE,6.46389677381539e-06,99,410,16,0.0390243902439024,0.161616161616162,"GO:0044782","GO:BP","cilium organization",14996,10404
"query_1",TRUE,0.000167812785661934,303,410,26,0.0634146341463415,0.0858085808580858,"GO:0007017","GO:BP","microtubule-based process",14996,2492
"query_1",TRUE,0.000683213360977496,91,410,13,0.0317073170731707,0.142857142857143,"GO:0060271","GO:BP","cilium assembly",14996,13503
"query_1",TRUE,0.00253906577189774,102,410,13,0.0317073170731707,0.127450980392157,"GO:0120031","GO:BP","plasma membrane bounded cell projection assembly",14996,18200
"query_1",TRUE,0.00260025074548256,832,410,46,0.11219512195122,0.0552884615384615,"GO:0006996","GO:BP","organelle organization",14996,2478
"query_1",TRUE,0.00391343500045265,106,410,13,0.0317073170731707,0.122641509433962,"GO:0030031","GO:BP","cell projection assembly",14996,6220
"query_1",TRUE,0.0145451010874113,137,410,14,0.0341463414634146,0.102189781021898,"GO:0007018","GO:BP","microtubule-based movement",14996,2493
"query_1",TRUE,0.0152145947136787,14,410,5,0.0121951219512195,0.357142857142857,"GO:0042073","GO:BP","intraciliary transport",14996,9319
"query_1",TRUE,0.0496975133377491,4,410,3,0.00731707317073171,0.75,"GO:0046835","GO:BP","carbohydrate phosphorylation",14996,11552
"query_1",TRUE,0.000932575216489209,259,278,19,0.0683453237410072,0.0733590733590734,"GO:0042995","GO:CC","cell projection",12235,1807
"query_1",TRUE,0.00165018757572639,80,278,10,0.0359712230215827,0.125,"GO:0005929","GO:CC","cilium",12235,440
"query_1",TRUE,0.00190374252099685,2445,278,85,0.305755395683453,0.0347648261758691,"GO:0005737","GO:CC","cytoplasm",12235,304
"query_1",TRUE,0.0059590103800999,4,278,3,0.0107913669064748,0.75,"GO:0030990","GO:CC","intraciliary transport particle",12235,989
"query_1",TRUE,0.0197669656595005,220,278,15,0.0539568345323741,0.0681818181818182,"GO:0015630","GO:CC","microtubule cytoskeleton",12235,687
"query_1",TRUE,0.0306532132494764,229,278,15,0.0539568345323741,0.0655021834061135,"GO:0120025","GO:CC","plasma membrane bounded cell projection",12235,3370
