"","gene_id","GeneName","logFC","logCPM","F","PValue","FDR"
"1","unassigned_transcript_1064","trnav-cac",-3.81105836507699,1.15768266921901,32.636119385836,9.16082470291585e-05,0.000580764531932831
"21","unassigned_transcript_151","LOC128607266",-3.42032701475536,3.31397666536132,98.0534128627849,2.18062605757697e-06,5.15833724189727e-05
"23","unassigned_transcript_22","trnar-ccg",-2.98570642303351,1.16156338315077,16.9503960692062,0.00182844681912138,0.00547519369366202
"62","XM_053610136.1","tacr1a",-2.53350286935345,2.7834583066184,40.0965946256076,9.66300832490107e-05,0.00060372357685642
"64","XM_053610140.1","notch1b",-1.593119570691,8.90694585396143,28.5890151277806,0.00035127719117455,0.00153398305118252
"78","XM_053610169.1","LOC128598938",-2.92463927043883,4.3104430185559,66.1876593710296,1.17523241102342e-05,0.000145646128562389
"120","XM_053610337.1","LOC128599018",-3.79093004621174,1.39052534660584,20.8692198552206,0.000718640606024894,0.00264334336067507
"141","XM_053610408.1","LOC128599050",-3.98400879268159,2.9646442687902,78.9934961047804,5.41614230760755e-06,8.94663374194172e-05
"146","XM_053610417.1","LOC128599058",-2.61047386924214,4.36353568451509,38.2612518292883,0.000114192011345175,0.000682874133600184
"152","XM_053610439.1","nsmfb",-2.93069392240639,3.24137778922708,40.6339287368927,9.12737190649899e-05,0.000579654360229132
"164","XM_053610465.1","LOC128599082",-2.12963160312483,2.34470180081498,18.6321989503047,0.00162598680586074,0.00498890720494194
"166","XM_053610470.1","ntn1b",-1.89209534870284,2.91562552726567,23.1999849296447,0.000756620941361102,0.00274628794865212
"178","XM_053610503.1","ch25hl3",-2.55580687494935,5.23099062770924,73.9516372496339,7.24159334981398e-06,0.000106958862360209
"180","XM_053610505.1","LOC128599110",-2.34628794988438,1.75733491430764,23.745377633969,0.000701962126679578,0.00259378290497352
"181","XM_053610507.1","npffr2a",-1.93007636242065,4.49460282144851,27.0114590613509,0.000434082408443342,0.00179487254862856
"198","XM_053610569.1","cacna1ba",-3.84772483928379,2.65566447006811,60.334335790197,1.66484295540908e-05,0.000185481608824241
"199","XM_053610570.1","LOC128599145",-2.80301178793624,2.46362569182173,27.7954778917614,0.000399892121836493,0.00168931463159946
"223","XM_053610648.1","npdc1b",-2.12192014030135,3.8419223066671,39.9716441115973,9.59481243909416e-05,0.000600389732369757
"240","XM_053610687.1","prlrb",-2.53968678231581,2.17687222052979,33.4336898296405,0.000199044610788353,0.00101372531684383
"241","XM_053610692.1","LOC128599208",-1.81317833298921,2.80479814283053,31.082056826165,0.000257855018382555,0.0012237034756336
"265","XM_053610751.1","nfil3-2",-1.74202263037117,7.38349966556965,29.7743439800198,0.000301511486651757,0.00137566740302104
"279","XM_053610775.1","lrp13",-1.72756120571826,3.53070415103735,18.4469632257622,0.00166038909750382,0.00507522256616159
"288","XM_053610797.1","LOC128599283",-2.71741928436657,0.781722544977155,24.4860760716801,0.000438108508208502,0.00180598434705353
"290","XM_053610804.1","LOC128599288",-2.71147945521637,1.96928803881214,17.8752821955525,0.00185152492370223,0.00552895876496803
"302","XM_053610824.1","whrnb",-2.04384348117105,2.38964508416297,23.5699105186822,0.000722141461382113,0.00265380839429141
"303","XM_053610826.1","LOC128599312",-1.93622838101867,1.78600518898078,19.0399824915532,0.00151916792644247,0.00473226078970147
"312","XM_053610844.1","ak5l",-2.20068285033346,2.88047069837086,23.2508309126847,0.000753055734383165,0.00273758505012232
"319","XM_053610857.1","sema4c",-1.65228615292136,3.74965516758338,22.1869290515476,0.000882621006213454,0.00309328184641338
"331","XM_053610890.1","scarf2",-1.91084452851641,6.69825148504307,77.0231677275156,6.05659437332348e-06,9.59178893700186e-05
"342","XM_053610917.1","gli3",-2.10912479168452,6.4077898294036,75.9891209193785,6.42637959041249e-06,9.99449066202815e-05
"344","XM_053610927.1","LOC128599390",-2.25383137478567,3.98310748297613,75.5841458539282,6.59747229366051e-06,0.000101232115156186
"346","XM_053610929.1","LOC128599393",-2.72671316890219,2.50866262402911,58.1374938339319,2.12542034634889e-05,0.000218037418039898
"354","XM_053610941.1","LOC128599404",-2.3732313053144,2.6221724226115,23.2099701663917,0.000763034896061402,0.00276461247081966
"367","XM_053610959.1","LOC128599422",-1.6419967149089,2.87978948601404,25.4870695414482,0.000539014537809279,0.0021096632828957
"371","XM_053610966.1","elovl2",-1.90701808047814,1.50535766463212,15.8848940259208,0.00272854318538961,0.00756848133740353
"389","XM_053611000.1","ccr9b",-2.49616945940847,4.33170712830723,60.434720629121,1.73253643322456e-05,0.000190791154973055
"396","XM_053611029.1","LOC128599463",-2.18935640377487,2.46657414967356,26.2746942352133,0.000488417384115666,0.00195608624791301
"410","XM_053611097.1","si:ch211-269k10.4",-1.75055185042516,3.92986192128617,26.0778454994523,0.000494239578605185,0.00197455467477978
"411","XM_053611098.1","si:ch211-269k10.4",-2.70352086894341,2.10995784461422,29.368974576084,0.000323659297655774,0.00144654795981548
"415","XM_053611108.1","pcyt1ba",-2.35360285316149,3.91032965207599,57.5862670761236,2.12938723744119e-05,0.000218041905138566
"422","XM_053611138.1","ncoa2",-2.45471090034353,0.916548900528155,21.2576966959504,0.000871801268742266,0.00306664905223811
"433","XM_053611162.1","sv2a",-1.94435591571082,3.13691308492268,28.115237515605,0.000375423310164686,0.00161117511796022
"434","XM_053611167.1","paqr6",-1.76285597564457,1.77143845267679,14.8497294490276,0.00337892296379234,0.00903203516147133
"437","XM_053611171.1","nr2f5",-1.84110737617962,3.72100365622541,39.7325238684402,9.82596096479303e-05,0.00061143345853839
"451","XM_053611241.1","ldlra",-1.879731795431,3.92150444545201,29.190275766842,0.0003252833298806,0.00144892353883187
"458","XM_053611267.1","cebpd",-1.79847477452326,8.13289568287609,23.8971828305188,0.000677520956526632,0.00252305250615439
"462","XM_053611280.1","tnfsf10",-1.78161010024904,5.48156755603451,27.6969580322331,0.000395435578781683,0.00167503877511405
"466","XM_053611294.1","LOC128599567",-1.96445856923538,3.89442417128263,35.0805148542012,0.000160753896881676,0.000868586142430096
"468","XM_053611306.1","vill",-2.07631096688738,3.04555539943851,31.14689673347,0.000255676506263828,0.00121803745832809
"470","XM_053611309.1","abcb4",-1.83012785756009,6.55234542348127,111.111694765112,1.18276988726824e-06,3.4436472904853e-05
"472","XM_053611318.1","LOC128599577",-2.36370879758639,1.11159954123437,14.5372175837529,0.00336539083964965,0.00900180880902983
"488","XM_053611356.1","steap4",-2.23285803149215,5.60899580606278,109.824535761446,1.24723577236477e-06,3.54214959351595e-05
"499","XM_053611387.1","LOC128599611",-3.17312635884619,1.85996739558077,47.8391661632349,4.14434170408783e-05,0.000340378505863895
"514","XM_053611426.1","LOC128599629",-2.9346243761706,2.05939726808673,42.6355049266217,7.38116462883755e-05,0.000500151917168783
"517","XM_053611435.1","syngap1b",-2.75480051590639,4.5155151070152,75.2113999112051,6.73852736486401e-06,0.000102327471562202
"520","XM_053611447.1","pigm",-2.35779333247048,0.979995415816092,16.4640812688524,0.00219890922323948,0.00635868926505908
"521","XM_053611456.1","ofcc1",-2.20214424839153,1.21791258222921,18.9632147601148,0.0014673402690783,0.00460807680140237
"522","XM_053611462.1","myripb",-1.82797744229828,3.94078270966589,43.984557271673,6.51551850498923e-05,0.000459979125855934
"526","XM_053611484.1","zdhhc23b",-1.98054084479663,1.69123425595777,18.0822603171682,0.00180111574706936,0.00541337944923112
"544","XM_053611562.1","map3k22",-2.00160202683665,2.05165409939652,22.4030601922688,0.000868969232804383,0.00305868100470479
"546","XM_053611579.1","myom3",-1.8942401298455,4.30779405140401,44.0673428581846,6.46242093825341e-05,0.00045718585595167
"571","XM_053611645.1","xkr9",-1.93858480210954,3.37359705241729,22.4731507330404,0.000844737319529278,0.0029857222114716
"605","XM_053611745.1","zbtb47b",-1.91842022966949,6.41293311832995,80.1548380880572,5.08422248996948e-06,8.56631947957689e-05
"610","XM_053611762.1","fam110d",-1.99711215780375,3.85911570344587,37.2713536678044,0.00012670441518751,0.000734105609540234
"622","XM_053611790.1","crispld1a",-3.49630971758359,2.43956604872222,21.9739546606635,0.000903709454562127,0.00315172548825349
"639","XM_053611824.1","LOC128599833",-5.01398745582711,2.18037976736316,52.9256642197081,8.95764472507083e-06,0.000122368230218942
"671","XM_053611921.1","LOC128599890",-3.60056212595443,2.62512403289782,64.0185917411748,1.35022045276154e-05,0.000160362206084401
"672","XM_053611924.1","si:ch211-225p5.8",-3.25474137431858,2.41792657763557,59.3780107479935,1.8899687959015e-05,0.000202883387719188
"681","XM_053611970.1","phf1",-2.3575828068451,4.13600175917801,40.4305826852465,9.16279104618514e-05,0.000580764531932831
"682","XM_053611977.1","slc51a",-2.6948825307079,2.99256853502423,48.3008189737057,4.53008601430861e-05,0.000360713391045882
"685","XM_053611982.1","LOC128599921",-2.45323834811262,1.30036877942129,18.742662248305,0.00149868220306226,0.00468388619571705
"687","XM_053611985.1","LOC128599925",-4.02095670344862,3.16483644777646,64.8987077096631,1.30594404483557e-05,0.000156718189389056
"700","XM_053612015.1","ptchd1",-3.51189302357693,2.72179665361666,47.5673406409828,4.82004179769436e-05,0.000375813739079457
"701","XM_053612017.1","iglon5",-2.03803782992667,2.2281694926961,16.9773422600434,0.00220747958705443,0.00637208979230335
"708","XM_053612032.1","foxd7",-2.19929052006842,1.57419440915668,26.8420901610876,0.000448005049013784,0.00183975284967913
"709","XM_053612041.1","chrnd",-2.53340850476484,4.14190700279534,71.2872456746103,8.51737700458824e-06,0.000117956336828244
"710","XM_053612042.1","camk2n2",-2.71749559158005,3.12101504250719,30.7467705719707,0.000270495769596034,0.00126635599286838
"712","XM_053612045.1","mcm5",-1.68896755678839,6.04343910996674,37.0057470849337,0.000130119736025154,0.000749600813799003
"713","XM_053612049.1","drd3",-2.55616264812618,1.76342816321411,28.2200899944178,0.000368896789554631,0.001589716450952
"715","XM_053612059.1","LOC128599977",-3.13449417801205,2.46280837962325,45.8896280202263,5.61670812187009e-05,0.000415174753775494
"717","XM_053612064.1","arxa",-1.99882839475914,2.5467824614479,18.2648714263449,0.0017288837102291,0.00523810022481541
"723","XM_053612079.1","LOC128599995",-3.14960484514885,4.15822304308919,119.069254036523,8.72368032243686e-07,2.81277843711984e-05
"731","XM_053612106.1","LOC128600003",-2.22517420592302,4.46683212579946,79.0012498768271,5.42722654718728e-06,8.94663374194172e-05
"751","XM_053612150.1","tnk2a",-3.00183221131684,3.13193508388946,53.9411353511084,2.87641026423039e-05,0.000266378873227934
"756","XM_053612160.1","map3k15",-2.22214781436135,5.22692936927415,69.1163897533597,9.71455489592639e-06,0.000128165619115938
"762","XM_053612207.1","LOC128600055",-4.34779489415302,1.27162808413103,31.1078081704233,8.892371564296e-05,0.000569646659607533
"767","XM_053612234.1","tmprss7",-4.8088633755614,0.548115520797308,32.0707776912458,0.000162775338236384,0.000876874268010179
"771","XM_053612255.1","foxk1",-1.6897963321415,7.27360812315998,68.5268113894818,1.0075895377561e-05,0.000131311356428867
"772","XM_053612257.1","arhgap44a",-2.97770577832842,4.69392988418645,77.0542930036008,6.06152710807568e-06,9.59178893700186e-05
"774","XM_053612268.1","notch3",-2.12946360280086,7.42712372908349,57.204561130309,2.1832489895441e-05,0.000222279463161886
"776","XM_053612283.1","LOC128600099",-4.14146256278369,3.19112751359499,111.078671354259,1.20631320846838e-06,3.47867859653875e-05
"777","XM_053612285.1","cpne4b",-2.52451040954033,2.60837547599453,33.8510429779773,0.000188848297567116,0.00097576643505154
"794","XM_053612323.1","lfng",-1.9415218881382,5.16044942679918,50.4773679593095,3.69226468636057e-05,0.000318435699215796
"803","XM_053612342.1","rbm24a",-1.92281209697211,1.87504740650042,14.3578247212408,0.00374628110009524,0.00985594844354457
"833","XM_053612459.1","cdk6",-2.58756196297686,7.18805831645914,67.7405538230285,1.05925120462015e-05,0.000135659384130337
"834","XM_053612468.1","LOC128600187",-3.56612126858815,1.22129206762657,30.0434555743351,0.000163587326509433,0.000879492408347628
"851","XM_053612527.1","ahdc1",-3.16585567218067,1.85827294229636,30.4302536555977,0.000257421738888211,0.00122239457586458
"853","XM_053612534.1","LOC128600216",-2.99432615762987,1.16325083097562,25.1439134318644,0.000434549453647531,0.00179588627920506
