"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order"
"query_1",TRUE,1.04415193602386e-09,5788,567,300,0.529100529100529,0.0518313752591569,"GO:0065007","GO:BP","biological regulation",14996,14784
"query_1",TRUE,1.76096004377883e-09,771,567,71,0.125220458553792,0.0920881971465629,"GO:0006811","GO:BP","monoatomic ion transport",14996,2363
"query_1",TRUE,2.33605959119895e-09,5619,567,292,0.514991181657848,0.0519665420893397,"GO:0050789","GO:BP","regulation of biological process",14996,12397
"query_1",TRUE,9.77566465119246e-09,5453,567,283,0.499118165784832,0.0518980377773703,"GO:0050794","GO:BP","regulation of cellular process",14996,12401
"query_1",TRUE,3.30586086411449e-08,3092,567,182,0.320987654320988,0.0588615782664942,"GO:0007154","GO:BP","cell communication",14996,2584
"query_1",TRUE,3.50418787950241e-08,3049,567,180,0.317460317460317,0.0590357494260413,"GO:0023052","GO:BP","signaling",14996,6205
"query_1",TRUE,3.41659355551533e-07,829,567,69,0.121693121693122,0.083232810615199,"GO:0007275","GO:BP","multicellular organism development",14996,2666
"query_1",TRUE,1.27529237453146e-06,1233,567,89,0.156966490299824,0.0721816707218167,"GO:0032501","GO:BP","multicellular organismal process",14996,7116
"query_1",TRUE,1.28882172825705e-06,137,567,23,0.0405643738977072,0.167883211678832,"GO:0007267","GO:BP","cell-cell signaling",14996,2659
"query_1",TRUE,1.74872942602405e-06,1067,567,80,0.141093474426808,0.0749765698219306,"GO:0032502","GO:BP","developmental process",14996,7117
"query_1",TRUE,1.89854883420403e-06,1012,567,77,0.135802469135802,0.0760869565217391,"GO:0048856","GO:BP","anatomical structure development",14996,12247
"query_1",TRUE,3.12264380259071e-06,2944,567,168,0.296296296296296,0.0570652173913043,"GO:0007165","GO:BP","signal transduction",14996,2595
"query_1",TRUE,5.11750979209782e-06,432,567,43,0.0758377425044092,0.099537037037037,"GO:0030001","GO:BP","metal ion transport",14996,6211
"query_1",TRUE,7.29966843476077e-06,536,567,49,0.0864197530864197,0.0914179104477612,"GO:0006812","GO:BP","monoatomic cation transport",14996,2364
"query_1",TRUE,9.93693342111326e-06,458,567,44,0.0776014109347443,0.0960698689956332,"GO:0048869","GO:BP","cellular developmental process",14996,12259
"query_1",TRUE,2.28935359159301e-05,225,567,28,0.0493827160493827,0.124444444444444,"GO:0022008","GO:BP","neurogenesis",14996,6130
"query_1",TRUE,2.51694712384567e-05,456,567,43,0.0758377425044092,0.0942982456140351,"GO:0030154","GO:BP","cell differentiation",14996,6252
"query_1",TRUE,6.39044293660479e-05,627,567,52,0.091710758377425,0.0829346092503987,"GO:0048731","GO:BP","system development",14996,12138
