"","gene_id","GeneName","logFC","logCPM","F","PValue","FDR"
"24","unassigned_transcript_226","trnal-caa",4.80053496730637,0.264912599245166,32.2403999037815,0.000161648250581922,0.000871963305704818
"38","unassigned_transcript_748","trnaw-cca",5.00920804773452,2.74787835959669,90.6977235716317,1.79950230653691e-06,4.53743665704353e-05
"41","unassigned_transcript_854","trnag-ucc",4.09184903592167,1.73878104734566,46.9093574745574,3.20114000429207e-05,0.000288859242171553
"43","unassigned_transcript_880","trnav-uac",4.28419239593944,3.87881754680828,132.633004812897,5.56552382804836e-07,2.12998035647624e-05
"44","unassigned_transcript_885","trnal-caa",2.14495148279185,1.04925777276798,19.4141726920187,0.0013865147657453,0.00440527988771048
"47","unassigned_transcript_926","trnat-agu",2.89567029500344,1.18791487114992,22.8571715922547,0.000723838826320599,0.00265642777612284
"48","unassigned_transcript_967","trnaa-cgc",2.41155466158812,1.05918223277342,25.6824288674564,0.000500451409535421,0.00199396694689916
"49","XM_053610100.1","gda",3.79026960870429,0.818827147515393,32.88374344637,8.79515185304066e-05,0.000566435683251374
"53","XM_053610110.1","LOC128598904",3.21199936056223,3.59792807344548,21.1515923699949,0.00104745960422939,0.00353182171907215
"61","XM_053610132.1","LOC128598917",4.2136364884906,3.11211173535684,73.0418698224118,7.87900937970163e-06,0.000112972014028884
"65","XM_053610148.1","camsap1b",1.82240260401306,2.05309101899251,24.499002251601,0.000627864312530289,0.00237640109685301
"84","XM_053610186.1","mtrfr",1.66738673464718,3.3643033841026,31.0803104034673,0.000256589306479242,0.00122039759062243
"102","XM_053610248.1","LOC128598980",5.00820081949251,4.7705651697124,224.54159701198,4.82294185462504e-08,6.57565059922325e-06
"103","XM_053610252.1","parp8",4.20148132198385,4.06258551223972,161.937688673856,2.19510784974017e-07,1.24832157201874e-05
"107","XM_053610265.1","LOC128598992",5.53934572652454,3.25145885237804,110.866644523989,6.90533826561486e-07,2.42506555183529e-05
"108","XM_053610270.1","LOC128598993",3.93882057953952,2.08404412353106,42.9955110979229,6.14194330075846e-05,0.000440521834969774
"109","XM_053610271.1","LOC128598993",4.52437295702074,5.03011497904671,257.532678249654,2.43998317798087e-08,5.44267340793876e-06
