locus_tag	ftype	length_bp	gene	EC_number	COG	product
OKAGGDNG_00001	CDS	531	cybB		COG3038	Cytochrome b561
OKAGGDNG_00002	CDS	174				hypothetical protein
OKAGGDNG_00003	CDS	168				hypothetical protein
OKAGGDNG_00004	CDS	1641	trg		COG0840	Methyl-accepting chemotaxis protein III
OKAGGDNG_00005	CDS	924	catM			HTH-type transcriptional regulator CatM
OKAGGDNG_00006	CDS	1344			COG5383	putative protein
OKAGGDNG_00007	CDS	1620	mdoD		COG3131	Glucans biosynthesis protein D
OKAGGDNG_00008	CDS	225				hypothetical protein
OKAGGDNG_00009	CDS	540	rimL	2.3.1.-	COG1670	Ribosomal-protein-serine acetyltransferase
OKAGGDNG_00010	CDS	981				hypothetical protein
OKAGGDNG_00011	CDS	993	tehA		COG1275	Tellurite resistance protein TehA
OKAGGDNG_00012	CDS	594	tehB	2.1.1.265	COG0500	Tellurite methyltransferase
OKAGGDNG_00013	CDS	669				hypothetical protein
OKAGGDNG_00014	CDS	288				hypothetical protein
OKAGGDNG_00015	CDS	1149				IS200/IS605 family transposase IS609
OKAGGDNG_00016	CDS	1176	ydcO		COG3135	Inner membrane protein YdcO
OKAGGDNG_00017	CDS	537	sutR		COG1396	HTH-type transcriptional regulator SutR
OKAGGDNG_00018	CDS	1962	rlhA_1		COG0826	23S rRNA 5-hydroxycytidine synthase
OKAGGDNG_00019	CDS	171				hypothetical protein
OKAGGDNG_00020	CDS	177	hicA	3.1.-.-		putative mRNA interferase toxin HicA
OKAGGDNG_00021	CDS	438	hicB		COG1598	Antitoxin HicB
OKAGGDNG_00022	CDS	1407	lysN	2.6.1.39	COG1167	2-aminoadipate transaminase
OKAGGDNG_00023	CDS	1146	ydcS	2.3.1.-		Bifunctional polyhydroxybutyrate synthase / ABC transporter periplasmic binding protein
OKAGGDNG_00024	CDS	1014	potA_1	7.6.2.11	COG3842	Spermidine/putrescine import ATP-binding protein PotA
OKAGGDNG_00025	CDS	942	ydcU		COG1176	Inner membrane ABC transporter permease protein YdcU
OKAGGDNG_00026	CDS	795	ydcV_1			Inner membrane ABC transporter permease protein YdcV
OKAGGDNG_00027	CDS	1425	prr	1.2.1.19	COG1012	Gamma-aminobutyraldehyde dehydrogenase
OKAGGDNG_00028	CDS	174	ortT			Orphan toxin OrtT
OKAGGDNG_00029	CDS	234	ydcY			putative protein YdcY
OKAGGDNG_00030	CDS	450	ydcZ		COG3238	Inner membrane protein YdcZ
OKAGGDNG_00031	CDS	519	mnaT	2.3.1.-	COG1247	L-amino acid N-acyltransferase MnaT
OKAGGDNG_00032	CDS	1038	curA	1.3.1.-	COG2130	NADPH-dependent curcumin reductase
OKAGGDNG_00033	CDS	666	mcbR		COG1802	HTH-type transcriptional regulator McbR
OKAGGDNG_00034	CDS	2103	cntO			Metal-pseudopaline receptor CntO
OKAGGDNG_00035	CDS	1062	yncE		COG3391	putative protein YncE
OKAGGDNG_00036	CDS	1500	ansP2		COG1113	L-asparagine permease 2
OKAGGDNG_00037	CDS	618	gstB_1	2.5.1.18	COG0625	Glutathione S-transferase GST-6.0
OKAGGDNG_00038	CDS	213				hypothetical protein
OKAGGDNG_00039	CDS	1299	kgtP			Alpha-ketoglutarate permease
OKAGGDNG_00040	CDS	273				hypothetical protein
OKAGGDNG_00041	CDS	1356	pssA	2.7.8.8	COG1502	CDP-diacylglycerol--serine O-phosphatidyltransferase
OKAGGDNG_00042	CDS	2661	patZ	2.3.1.-	COG0454	Peptidyl-lysine N-acetyltransferase PatZ
OKAGGDNG_00043	CDS	699				hypothetical protein
OKAGGDNG_00044	CDS	420	trxC	1.8.1.8	COG0526	Thioredoxin 2
OKAGGDNG_00045	CDS	1038	yfiF	2.1.1.-	COG0566	putative tRNA/rRNA methyltransferase YfiF
OKAGGDNG_00046	CDS	690	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
OKAGGDNG_00047	CDS	384	grcA		COG3445	Autonomous glycyl radical cofactor
OKAGGDNG_00048	CDS	588	eamB		COG1280	Cysteine/O-acetylserine efflux protein
OKAGGDNG_00049	CDS	882	cmpR			HTH-type transcriptional activator CmpR
OKAGGDNG_00050	CDS	1335	srmB_1	3.6.4.13	COG0513	ATP-dependent RNA helicase SrmB
OKAGGDNG_00051	CDS	738	yfiC	2.1.1.223	COG4123	tRNA1(Val) (adenine(37)-N6)-methyltransferase
OKAGGDNG_00052	CDS	1623	nadB	1.4.3.16	COG0029	L-aspartate oxidase
OKAGGDNG_00053	CDS	576	rpoE		COG1595	ECF RNA polymerase sigma-E factor
OKAGGDNG_00054	CDS	651	rseA		COG3073	Anti-sigma-E factor RseA
OKAGGDNG_00055	CDS	957	rseB		COG3026	Sigma-E factor regulatory protein RseB
OKAGGDNG_00056	CDS	480	rseC		COG3086	Protein RseC
OKAGGDNG_00057	CDS	1800	lepA	3.6.5.-	COG0481	Elongation factor 4
OKAGGDNG_00058	CDS	975	lepB	3.4.21.89	COG0681	Signal peptidase I
OKAGGDNG_00059	CDS	681	rnc	3.1.26.3	COG0571	Ribonuclease 3
OKAGGDNG_00060	CDS	906	era_1		COG1159	GTPase Era
OKAGGDNG_00061	CDS	729	recO		COG1381	DNA repair protein RecO
OKAGGDNG_00062	CDS	732	pdxJ	2.6.99.2	COG0854	Pyridoxine 5'-phosphate synthase
OKAGGDNG_00063	CDS	381	acpS	2.7.8.7	COG0736	Holo-[acyl-carrier-protein] synthase
OKAGGDNG_00064	CDS	261	yfhL		COG1145	Ferredoxin YfhL
OKAGGDNG_00065	CDS	849	murR_1		COG1737	HTH-type transcriptional regulator MurR
OKAGGDNG_00066	CDS	636	pgpC	3.1.3.27	COG0560	Phosphatidylglycerophosphatase C
OKAGGDNG_00067	CDS	504	tadA	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
OKAGGDNG_00068	CDS	2355	lon_1	3.4.21.53	COG0466	Lon protease
OKAGGDNG_00069	CDS	273	hupB		COG0776	DNA-binding protein HU-beta
OKAGGDNG_00070	CDS	1872	ppiD	5.2.1.8	COG0760	Peptidyl-prolyl cis-trans isomerase D
OKAGGDNG_00071	CDS	372			COG1555	putative protein
OKAGGDNG_00072	CDS	399	fadM	3.1.2.-	COG0824	Long-chain acyl-CoA thioesterase FadM
OKAGGDNG_00073	CDS	696	queC	6.3.4.20	COG0603	7-cyano-7-deazaguanine synthase
OKAGGDNG_00074	CDS	1701	sgrR_1		COG4533	HTH-type transcriptional regulator SgrR
OKAGGDNG_00075	CDS	819	cof	3.6.1.-	COG0561	HMP-PP phosphatase
OKAGGDNG_00076	CDS	459	decR		COG1522	DNA-binding transcriptional activator DecR
OKAGGDNG_00077	CDS	1773	yheI	3.6.3.-	COG1132	putative multidrug resistance ABC transporter ATP-binding/permease protein YheI
OKAGGDNG_00078	CDS	1782	mdlB	7.6.2.2	COG1132	Multidrug resistance-like ATP-binding protein MdlB
OKAGGDNG_00079	CDS	339	glnK		COG0347	Nitrogen regulatory protein P-II 2
OKAGGDNG_00080	CDS	1287	amtB			Ammonia channel
OKAGGDNG_00081	CDS	861	tesB	3.1.2.-	COG1946	Acyl-CoA thioesterase 2
OKAGGDNG_00082	CDS	573	ybaY		COG3126	putative lipoprotein YbaY
OKAGGDNG_00083	CDS	312	atl		COG3695	DNA base-flipping protein
OKAGGDNG_00084	CDS	354	ybaA		COG5507	putative protein YbaA
OKAGGDNG_00085	CDS	1551	pdeB	3.1.4.52	COG4943	putative cyclic di-GMP phosphodiesterase PdeB
OKAGGDNG_00086	CDS	471	ylaC			Inner membrane protein YlaC
OKAGGDNG_00087	CDS	552	maa	2.3.1.79	COG0110	Maltose O-acetyltransferase
OKAGGDNG_00088	CDS	219	hha			Hemolysin expression-modulating protein Hha
OKAGGDNG_00089	CDS	375	tomB			Hha toxicity modulator TomB
OKAGGDNG_00090	CDS	3150	acrB_1		COG0841	Multidrug efflux pump subunit AcrB
OKAGGDNG_00091	CDS	1194	acrA			Multidrug efflux pump subunit AcrA
OKAGGDNG_00092	CDS	648	acrR_1		COG1309	HTH-type transcriptional regulator AcrR
OKAGGDNG_00093	CDS	3363	mscK		COG3264	Mechanosensitive channel MscK
OKAGGDNG_00094	CDS	162				hypothetical protein
OKAGGDNG_00095	CDS	528	priC		COG3923	Primosomal replication protein N''
OKAGGDNG_00096	CDS	378	ybaN		COG2832	Inner membrane protein YbaN
OKAGGDNG_00097	CDS	552	apt	2.4.2.7	COG0503	Adenine phosphoribosyltransferase
OKAGGDNG_00098	CDS	1932	dnaX	2.7.7.7	COG2812	DNA polymerase III subunit tau
OKAGGDNG_00099	CDS	330	ybaB		COG0718	Nucleoid-associated protein YbaB
OKAGGDNG_00100	CDS	606	recR		COG0353	Recombination protein RecR
OKAGGDNG_00101	CDS	1875	htpG		COG0326	Chaperone protein HtpG
OKAGGDNG_00102	CDS	645	adk	2.7.4.3	COG0563	Adenylate kinase
OKAGGDNG_00103	CDS	963	hemH	4.99.1.1	COG0276	Ferrochelatase
OKAGGDNG_00104	CDS	642	aes	3.1.1.-	COG0657	Acetyl esterase
OKAGGDNG_00105	tRNA	74				tRNA-Gly(ccc)
OKAGGDNG_00106	CDS	756	nlpD_1			Murein hydrolase activator NlpD
